PID,DID,Conference,IsTopTier,Paper,Code Form,Domain,Analysis,Analysis Artifact,Artifact class,Transformation,Artifact form,Canonicalization,Canonicalization_Method,Split basis,Token Unit,Tokenization_Technique,Encoding,Encoding_NAs,Encoding examples,Embedding_Method,Embedding examples,Learning_Category,Learning_Subcategory,Learning_Trainable,for claude,Learning_Model,Learning_Model(Old),Inference_Category,Inference_Subcategory,Inference_Output,Evaluation_Metric
P105,D17,MALWARE,FALSE,Deep neural network based malware detection using two dimensional binary program features,Byte,Malware detection,Triage > Functional profiling | Triage > Structural analysis | Triage > Functional profiling | Triage > Structural analysis,Byte/Entropy Histogram | PE import  | String 2D histogram | PE metadata ,Numerical statistics | Binary facts | Numerical statistics | Binary facts,Numerical statistics -> Numeric descriptor | Binary facts -> Numeric descriptor |  Numerical statistics -> Numeric descriptor | Binary facts -> Numeric descriptor,Numeric descriptor | Numeric descriptor | Numeric descriptor | Numeric descriptor,Feature value scaling | Feature value scaling | Feature value scaling | Feature value scaling,Feature value scaling | Feature value scaling | Feature value scaling | Feature value scaling,N/A | N/A | N/A | N/A,N/A | N/A | N/A | N/A,N/A | N/A | N/A | N/A,,Dense | Dense | Dense | Dense,Byte histogram | Import count vector | String 2D histogram | PE metadata vector,Context-independent | Context-independent | Context-independent | Context-independent,N/A | N/A | N/A | N/A,Discriminative,Detection,Yes,,DNN,4-layer DNN (FC 1024/1024/1 PReLU dropout) + KDE-based Bayesian score calibration,Detection,Sample-level detection,Malicious/benign label,TPR at 0.1% FPR; AUC; ROC; threat score
P107,D17,AAAI,TRUE,Actor Critic Deep Reinforcement Learning for Neural Malware Control,Fetched instruction,Malware detection,Dynamic > Behavioral monitoring | Dynamic > Behavioral monitoring,API event trace; system event trace,Text streams | Text streams,Text streams -> Sequence | Text stream -> Numeric descriptor,Sequence | Numeric descriptor,N/A | N/A,Numeric value scaling,Syntactic unit | N/A,Trace-level | N/A,Instruction-level,Sparse | Sparse,Sparse,N/A | N/A,Context-dependent | N/A,attention-based LSTM | N/A,Reinforcement Learning,Reinforcement Learning,Yes,attention-based LSTM | N/A,attention-based LSTM + classifier + Actor-Critic ,Actor-critic DRL agent (3xFC(200 ReLU) actor + critic) + LSTM pre-trained malware classifier,Detection,Sample-level detection,Malicious/benign label with stopping policy,TPR at 1% FPR; false positive rate
P108,D17,AAAI,TRUE,Dynamic Malware Analysis with Feature Engineering and Feature Learning,Fetched instruction,Malware detection,Dynamic > Behavioral monitoring,API event trace,Text streams,Text streams -> Sequence,Sequence,Filtering by removal ,Numeric value scaling,Syntactic unit,Trace-level,Instruction-level,Dense,Dense,N/A,Context-dependent,Gated-CNN,Discriminative,Detection,Yes,Gated-CNN,Gated CNN + BiLSTM + FC,Gated-CNN + Bi-LSTM + global max pooling + FC(64 ReLU) + dropout(0.5) + sigmoid,Detection,Sample-level detection,Malicious/benign label,AUC; Accuracy; Recall at 0.1% FPR
P109,D17,NDSS,TRUE,You Are What You Do: Hunting Stealthy Malware via Data Provenance Analysis,Fetched instruction,Malware detection,Dynamic > Behavioral monitoring,Provenance graph,Graph Representations,Graph representation -> Sequence,Sequence,Abstraction by replacement ; Filtering by removal,Event value replacement,Rule-based decompositions,Custom rule,each node/edge label in causal path = one token,Sparse,N/A,N/A,Context-independent,PV-DM,Discriminative,Detection,Yes,PV-DM,PV-DM + Local Outlier Factor anomaly detector (LOF),PV-DM doc2vec + Local Outlier Factor (LOF non-parametric),Detection,Sample-level detection,Malicious/benign label,Precision; Recall; F1-score
P110,D17,AAAI,TRUE,Classifying Sequences of Extreme Length with Constant Memory Applied to Malware Detection,Byte,Malware detection,Triage > Structural analysis,Byte,Code representations,Code representation -> Sequence,Sequence,N/A,N/A,Atomic units,Byte,Byte-level,Sparse,N/A,N/A,Context-independent,lookup layer,Discriminative,Detection,Yes,lookup layer,CNN + FC,MalConv2 (byte embedding + context sub-net + feature sub-net + GCG gating + fixed-memory temporal max pooling),Detection,Sample-level detection,Malicious/benign label,Accuracy; AUC
P111,D25,AAAI,TRUE,Out of Distribution Data Detection Using Dropout Bayesian Neural Networks,Byte,Dataset shift,Triage > Structural analysis,Raw bytes,Code representations,Code representation -> Sequence,Sequence,N/A,N/A,granularity-based,Byte,Byte-level,Dense,N/A,N/A,Context-dependent,Dropout MalConv (p=0.1; 32 MC dropout passes at test time),Discriminative,Detection,Yes,,MalConv + Random Forest / Logistic Regression,Stage 1: dropout MalConv (p=0.1) -- Stage 2: OOD detector (RF/LR on cosine dispersion statistics from 32 MC dropout samples),Clustering,Anomaly / drift detection via clustering,OOD detection flag,AUC; accuracy; recall
P113,D17,USENIX Security,TRUE,Adversarial Training for Raw-Binary Malware Classifiers,Byte,Malware detection,Triage > Structural analysis,Byte,Code representations,Code representation -> Sequence,Sequence,N/A,N/A,Atomic units,Byte,Byte-level,Sparse,N/A,N/A,Context-independent,lookup layer,Discriminative,Detection,Yes,lookup layer,CNN + FC (using adversarial examples),MalConv + AvastNet with adversarial training (random augmentation / modified IPR-Disp / Kreuk / greedy perturbation),Detection,Sample-level detection,Malicious/benign label,TPR at 0.1% FPR; natural accuracy; attack success rate
P114,D17,AAAI,TRUE,Feature-Space Bayesian Adversarial Learning Improved Malware Detector Robustness,Byte,Malware detection,Triage > Structural analysis; Triage > Binary profiling,Header; sections; imports; exports; histogram; strings; entropy,Binary Facts; Binary Facts; Binary Facts; Binary Facts; Numerical Statistics; String Literals; Numerical Statistics,Binary Facts; Binary Facts; Binary Facts; Binary Facts; Numerical Statistics; String Literals; Numerical Statistics-> Numeric descriptor,Numeric descriptor,N/A,File-level (pre-extracted EMBER feature vector per PE),N/A,N/A,N/A,Dense,Dense,N/A,N/A,N/A,Discriminative,Detection,Yes,N/A,Bayesian neural network + feature-space adversarial training,Adv-MalBayes (BNN trained with SVGD + EoT-PGD adversarial training in feature space),Detection,Sample-level detection,Malicious/benign label,True Positive Rate; False Positive Rate; robustness
P115,D23,CCS,TRUE,FINER: Enhancing State-of-the-art Classifiers with Feature Attribution to Facilitate Security Analysis,Byte,XAI,Static > Control flow analysis,token sequence | ACFG statistics of basic blocks,Code representations | Numerical statistics,Code representations -> Sequence | Numerical statistics -> Numeric descriptor,Sequence | Numeric descriptor,N/A | N/A,File-level / function-level (inherited per wrapped ERDS),Rule-based | N/A,Sub-element | N/A,Whitespace-based | N/A,Dense,N/A,N/A,Context-dependent,Inherited from wrapped classifier (RNN for VulDeePecker; CNN for DAMD and DR-VGG),Discriminative,Detection,Yes,,CNN / RNN,"FINER framework: M1 explanation-guided multi-task fine-tuning + M2 ensemble FA explainer (gradient/IG/DeepLIFT/LIME/LEMNA/Shapley) wrapping the original ERDS (e.g., DAMD CNN, DR-VGG CNN, VulDeePecker RNN) to raise abstraction level via M4 IC decomposition",Classification,Multi-class classification,Class label + feature-attribution explanation,Fidelity; descriptive accuracy; MPD score
P116,D24,USENIX Security,TRUE,Can a Deep Learning Model for One Architecture Be Used for Others? Retargeted-Architecture Binary Code Analysis,Assembly,Code representation learning,Static > Disassembly,Assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,Element replacement; Element removal,Basic-block boundary (basic blocks treated as sentences),granularity-based,Instruction,Instruction-level,Dense,Dense,Skip-gram via fastText producing OAIE matrix X in R^{V x d} per ISA + unsupervised linear transformation T mapping source-ISA OAIE to target-ISA shared space (MAIE),Context-independent,OAIE per-ISA instruction embedding (Word2Vec-style) -> MAIE linear transformation to shared space,Discriminative,Detection,Yes,,Sequence model,OAIE (per-ISA Word2Vec-style) + MAIE (unsupervised linear transformation) + downstream sequence model,Detection,Similarity scoring,Architecture-agnostic instruction embedding,Accuracy; AUC
P117,D17,CCS,TRUE,"Training Robust ML-based Raw-Binary Malware Detectors in Hours, not Months",Byte,Malware detection,Triage > Structural analysis,Byte,Code representations,Code representation -> Sequence,Sequence,N/A,N/A,Atomic units,Byte,Byte-level,Sparse,N/A,N/A,Context-independent,lookup layer,Discriminative,Detection,Yes,lookup layer,CNN + FC (GreedyBlock data-augmentation),MalConv + AvastNet with GreedyBlock-training (block-based perturbation + dropout + IG attribution),Detection,Sample-level detection,Malicious/benign label,TPR at 0.1% FPR; natural accuracy; attack success rate
P118,D25,USENIX Security,TRUE,Detecting and Mitigating Sampling Bias in Cybersecurity with Unlabeled Data,Byte,Dataset shift,Triage > Structural analysis; Triage > Static content profiling; Triage > Entropy profiling,EMBER features,Binary facts; Numerical statistics,Binary facts; Numerical statistics -> Numeric descriptor,Numeric descriptor,N/A,File-level (one feature vector per sample as supplied by underlying benchmark),N/A,N/A,N/A,Dense,N/A,N/A,Context-independent,Contrastive learning encoder (for bias mitigation),Discriminative,Detection,Yes,,LightGBM + MLP,CONL-BM (contrastive learning encoder + self-training) + CyCBM (iterative cross-labeling) on LightGBM/MLP classifiers,Clustering,Anomaly / drift detection via clustering,Bias score; corrected sample weights,Accuracy; F-score
P119,D17,NDSS,TRUE,Revisiting Concept Drift in Windows Malware Detection: Adaptation to Real Drifted Malware with Minimal Samples,Assembly,Malware detection,Static > Control flow analysis | Static > Disassembly,Assembly | CFG,Code representations | Graph Representations,Code representations -> Sequence | Graph representations -> Graph,Sequence | Graph,Abstraction by replacement  |  Node attribute mapping,CFG vertex (basic block) ?? basic blocks form CFG nodes,Data-driven segmentation | N/A,Subword (BPE)  | N/A,N/A,Sparse | Dense,Sparse,N/A | adjacency-matrix,Context-dependent | Context-dependent,BERT-based (PalmTree) |  GIN,Discriminative,Detection,Yes,BERT-based -> GIN,(BERT-based -> GIN ) + MLP classifier,GIN generator + domain discriminator + malware family classifier (minimax adversarial DA),Detection,Sample-level detection,Malware label adapted to drifted distribution,F1; Accuracy
P120,D17,AAAI,TRUE,SRDC: Semantics-based Ransomware Detection and Classifcation with LLM-assisted Pre-training,Fetched instruction,Malware detection,Dynamic > Behavioral monitoring,API event trace; system event trace,Text streams,Text streams -> Sequence,Sequence,Abstraction by replacement ; Filtering by removal ,Per-feature-type segment (hierarchical splice of 11 feature types fed separately to the model),Data-driven segmentation,Subword (Pretrained-LLM,Byte pair encoding (BPE),Sparse,N/A,N/A,Context-dependent,Transformer-based,Discriminative,Detection,Yes,Transformer-based,SRDC-GPT + linear classifier,SRDC-GPT (GPT-2 124M params domain-adapted + Feature Compression Extractor + Feature Combination Classifier),Detection,Sample-level detection,Malicious/benign label,Balanced Accuracy; Accuracy; Recall; F1-score
P121,D17,NDSS,TRUE,ERW-Radar: An Adaptive Detection System against Evasive Ransomware by Contextual Behavior Detection and Fine-grained Content Analysis,Byte,Malware detection,Dynamic > Behavioral monitoring | Dynamic > Behavioral monitoring,system event trace |  chi-square statistic,Text Streams | Numerical Statistics,Text streams -> Sequence | Numerical Statistics -> Numeric descriptor,Sequence | Numeric descriptor,Filtering by removal  | Feature value scaling,Behavior-sequence dynamic window (compressed by decoder-based Compressor up to 2048) | File segment (512 / 1024 / 2048 byte segments) (multi-branch),Syntactic unit | N/A,Trace-level | N/A,OS event log-level | N/A,Sparse | Dense,N/A | Dense,N/A | N/A,Context-dependent | N/A,Transformer-based | N/A,Discriminative,Detection,Yes,Transformer-based | N/A,Transformer-based + classifier | Random Forest,Correlation mechanism (context-based I/O repetitiveness detection) + Content Analyzer (chi-squared test + byte probability distribution),Detection,Sample-level detection,Malicious/benign label,Accuracy; FPR; Recall; Precision; F1-Score
P122,D17,NDSS,TRUE,"Density Boosts Everything: A One-stop Strategy for Improving Performance, Robustness, and Sustainability of Malware Detectors",Byte,Malware detection,Triage > Structural analysis; Triage > Binary profiling,Header; sections; imports; exports; histogram; entropy; strings,Binary Facts; Binary Facts; Binary Facts; Binary Facts;  Numerical Statistics; Numerical Statistics; String Literals,Binary Facts; Binary Facts; Binary Facts; Binary Facts;  Numerical Statistics; Numerical Statistics; String Literals-> Numeric descriptor,Numeric descriptor,Feature value scaling,File-level (one inherited benchmark feature vector per sample),N/A,N/A,N/A,Dense,Dense,N/A,N/A,N/A,Discriminative,Detection,Yes,N/A,SCBNN with DB training (density-boosting),SCB + density-boosting training applied to LightGBM / SVM / MLP,Detection,Sample-level detection,Malicious/benign label,F1; Precision; Recall; Area Under Time (AUT); attack success rate (ASR)
P124,D17,IEEE Access,FALSE,Feature Selection for Malware Detection Based on Reinforcement Learning,Byte,Malware detection,Triage > Structural analysis | Triage > Static content profiling,PE format features | Byte 4-gram TF-IDF features,Binary facts; Binary facts; Binary facts; Numerical statistics; Numerical statistics,Metadata representation; Statistical representation -> Numeric descriptor,Numeric descriptor,,File-level (one 1x604 combined feature vector per PE; 10152 benign + 12146 malicious after filtering),N/A,N/A,N/A,,Dense; Sparse,Dense; Sparse,Context-independent,N/A,Reinforcement Learning,Reinforcement Learning,Yes,,Deep Q-network,DQFSA (Deep Q-network with priority experience replay and epsilon-greedy exploration; downstream classifier as reward signal),Detection,Sample-level detection,Selected feature subset + malware label,Accuracy; AUC
P125,D25,USENIX Security,TRUE,CADE: Detecting and Explaining Concept Drift Samples for Security Applications,Byte,Dataset shift,Triage > Functional profiling | Dynamic > Runtime behavioral monitoring,Pre-extracted features (Windows PE malware) | Network traffic feature vectors,Binary facts; String literals; Numerical statistics | Numerical statistics,Binary facts; String literals; Numerical statistics; Numerical statistics -> Numeric descriptor,Numeric descriptor,N/A,File-level (one feature vector per sample) | Flow-level (one 83-d feature vector per network flow),N/A,N/A,N/A,Dense,N/A,N/A,Context-independent,Contrastive autoencoder (encoder f maps high-dim input to low-dim latent z with contrastive loss),Discriminative,Detection,Yes,,Contrastive autoencoder + LOF,CADE (contrastive autoencoder + LOF-style distance-based drift detection),Clustering,Anomaly / drift detection via clustering,Drift sample identification + explanation,Precision; Recall; F1; normalized effort
P126,D17,AsiaCCS,FALSE,EVOLIoT: A Self-Supervised Contrastive Learning Framework for Detecting and Characterizing Evolving IoT Malware Variants,Assembly,Malware detection,Static > Disassembly,Assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,Assembly instruction element replacement,Basic-block boundary (basic blocks treated as sentences for BERT),granularity-based,Instruction-level,Instruction-level,,Dense,Instruction-level,Context-dependent,BERT (pre-trained Transformer encoder) fine-tuned with InfoNCE-style contrastive loss,Discriminative,Detection,Yes,,EVOLIoT / Siamese BERT-style Transformer,EVOLIoT (BERT encoder fine-tuned with InfoNCE contrastive loss; Siamese-style with dropout augmentation),Detection,Sample-level detection,Malicious/benign label,Precision; Recall; F1; AUC
P127,D23,CCS,TRUE,LEMNA: Explaining Deep Learning based Security Applications,Byte,XAI,Static > Disassembly | Triage > Functional profiling,Raw hex byte sequence | Structural PDF features ,Code representations | Binary facts,Code representation -> Sequence | Binary facts -> Numeric descriptor,Sequence | Numeric descriptor,N/A | Feature value scaling,File-level (binary truncated to max length 200 bytes) | File-level (one 135-d Mimicus feature vector per PDF),granularity-based | N/A,Byte | N/A,Byte-level | N/A,Dense | Sparse,Dense | Sparse,byte-value sequence | Binary descriptor vector,Context-dependent | Context-independent,BiLSTM hidden states; No embedding (135-dim binary feature vector fed directly to MLP),Discriminative,Detection,Yes,,BiLSTM + MLP,BiLSTM (function-start detection) + MLP (PDF malware classification); LEMNA explanation wrapper,Classification,Multi-class classification,Class label + feature attribution,Fidelity; local approximation accuracy
P128,D18,NDSS,TRUE,DEEPBINDIFF: Learning Program-Wide Code Representations for Binary Diffing,Assembly,Patch presence detection (binary diffing),Static Analysis > Disassembly | Static Analysis > Call-site analysis,Assembly | ICFG,Code representations | Graph representations,Code representations -> Sequence | Graph representations -> Graph,Sequence | Graph,Abstraction by replacement | Structural transformation,Token-level (opcodes + operands per instruction in random walks) | Graph node merging across two ICFGs,Syntactic units | N/A,Element | N/A,N/A,Dense | Dense,Sparse,TF-IDF | Node feature mapping; adjacency matrix,Context-independent | Context-dependent,CBOW | Deepwalk,Discriminative,Detection,Yes,CBOW -> TADW,(CBOW -> TADW) + k-hop greedy matching,DEEPBINDIFF (Word2Vec CBOW + TADW + k-hop greedy matching + Hungarian algorithm),Detection,Matching,Matched function pairs across two binaries,Precision; Recall; F1-score
P129,D18,TSE,FALSE,BinDiffNN: Learning Distributed Representation of Assembly for Robust Binary Diffing Against Semantic Differences,Assembly,Patch presence detection (binary diffing),Static > Disassembly,Assembly instructions of binary functions,Code representations; Binary facts; Binary facts; Binary facts; Numerical statistics; Numerical statistics,Code representation; Metadata representation; Statistical representation -> Sequence,Sequence,Assembly instruction element replacement,Assembly instruction element replacement,granularity-based,Instruction-field-level tokenization,Instruction-field-level tokenization,,Dense,Instruction-field-level tokenization,Context-dependent,ABENN (Attention-Based Embedding Neural Network): 3-level hierarchical attention (sub-token -> operand -> instruction -> function),Discriminative,Detection,Yes,,BinDiffNN / Siamese network,BinDiffNN (Siamese network with two shared-weight ABENN branches; exponential Manhattan distance),Detection,Matching,Matched function pairs across two binaries,Accuracy; Precision; F1 score; FPR; FNR
P130,D19,USENIX Security,TRUE,Finding Bugs Using Your Own Code: Detecting Functionally-similar yet Inconsistent Code,IR,Unknown vulnerability (bug) discovery/clustering,Static Analysis > IR lifting;  Static Analysis > Data-dependence analysis,IR; DDG | IR; DDG,Code representations; Graph representations | Code representations; Graph representations ,Code representations; Graph representations -> Graph | Code representations; Graph representations -> Graph ,Graph | Graph ,Subgraph extraction; Structural transformation | Subgraph extraction; Structural transformation,Function-level (one DDG per function; Constructs extracted from each function for every parameter and local variable),N/A | N/A,N/A | N/A,N/A,Dense | Dense,N/A,Node feature mapping | Node feature mapping; adjacency matrix,Context-independent | Context-dependent,Bag-of-nodes | Graph2vec,Discriminative,Detection,Yes,Bag-of-nodes -> Graph2vec,(Bag-of-nodes + clustering)  -> ( Graph2vec + clustering),FICS (two-step unsupervised clustering: bag-of-nodes + connected-component; graph2vec + connected-component),Discovery,Inconsistency / novel-bug discovery,Inconsistent code group flag,# reports; # bugs found; true positive rate; false positive rate; # CVEs
P131,D19,CCS,TRUE,Coverage-based Greybox Fuzzing as Markov Chain,Fetched instruction,Unknown vulnerability (bug) discovery/clustering,Security Testing > Fuzzing,Coverage maps,Numerical Statistics,Numerical statistics -> Numeric descriptor,Numeric descriptor,N/A,N/A,N/A,N/A,N/A,Dense,N/A,Frequency vector,N/A,N/A,Rule-based reasoning,Deterministic reasoning,No,N/A,Markov-chain-guided power scheduling,AFLFast (Markov chain-guided greybox fuzzer; 5 deterministic power schedules + 2 search strategies),Discovery,Input generation / fuzzing,Power schedule per seed; new test inputs,number of unique crashes; number of paths discovered; number of vulnerabilities/bugs exposed
P132,D19,S&P,TRUE,NEUZZ: Efficient Fuzzing with Neural Program Smoothing,Fetched instruction,Unknown vulnerability (bug) discovery/clustering,Security Testing > Fuzzing; Dynamic Analysis > Execution tracing,Mutated input; Coverage maps,Test Sets; Numerical Statistics,Test Sets; Numerical Statistics -> Sequence,Sequence,N/A,File-level (input file padded with null bytes to fixed max length m; threshold <=10KB to filter AFL corpus) | Edge-set level (merge always-co-occurring edges; keep only edges activated at least once during AFL training corpus),Atomic units,Byte,Byte-level,Dense,Dense,N/A,N/A,N/A,Discriminative,Detection,Yes,N/A,MLP,NEUZZ (feed-forward FC NN; 1 hidden layer ReLU 4096 neurons; sigmoid output; gradient G=nabla_x f(theta x) for hot-byte identification),Discovery,Input generation / fuzzing,Mutation targets predicted to increase coverage,number of bugs found; number of crashes found; edge coverage
P133,D19,TCYB,FALSE,V-Fuzz: Vulnerability Prediction-Assisted Evolutionary Fuzzing for Binary Programs,Assembly,Unknown vulnerability (bug) discovery/clustering,Static > Control flow analysis,Attributed Control Flow Graph (ACFG),Graph representations,Graph representation -> Graph,Graph,,Function-level (one ACFG per binary function),N/A,N/A,N/A,,Dense,N/A,Context-dependent,GNN (graph embedding network; T=3 iterations; 5-layer FC sigma with d=256 neurons ReLU; sum-pooling),Discriminative,Detection,Yes,,GNN classifier,V-Fuzz GNN-based binary classifier (graph embedding network + softmax; VP p in [0 1]),Discovery,Input generation / fuzzing,Vulnerability probability per CFG node,number of unique crashes; number of bugs found; number of CVEs found
P134,D19,ESEC/FSE,TRUE,MTFuzz: Fuzzing with a Multi-task Neural Network,Fetched instruction,Unknown vulnerability (bug) discovery/clustering,Security Testing > Fuzzing,Mutated input,Test Sets,Test sets -> Sequence,Sequence,Byte value scaling,File-level (input padded with 0x00 to the largest input length n in seed corpus; <=10KB threshold) | Edge-set level (3 separate bitmaps: edge_id + call_trace_id + approach_level; custom LLVM pass instrumented for each metric),Atomic units,Byte,Byte-level,Dense,Dense,N/A,Context-independent,MLP ,Discriminative,Detection,Yes,MLP ,MLP  +  MLP decoders -> saliency-guided mutation,MTFuzz (shared encoder 2048/1024/512 + 3 task-specific decoders; adaptive binary cross-entropy loss; MSE for approach-sensitive task),Discovery,Input generation / fuzzing,Multi-task mutation targets,number of bugs found; edge coverage
P135,D19,ICSE,TRUE,Evaluating and Improving Neural Program-Smoothing-based Fuzzing,"Fetched instruction, Assembly",Unknown vulnerability (bug) discovery/clustering,Security Testing > Fuzzing,Mutated input,Test Sets,Test sets -> Sequence,Sequence,Byte value scaling,File-level (input padded with 0x00 to the largest input length n in seed corpus; <=10KB threshold) | Edge-set level (3 separate bitmaps: edge_id + call_trace_id + approach_level; custom LLVM pass instrumented for each metric),Atomic units,Byte,Byte-level,Dense,Dense,N/A,Context-independent,MLP ,Discriminative,Detection,Yes,MLP ,MLP + PreFuzz edge selection + probabilistic byte selection -> mutation,PreFuzz (NEUZZ NN backbone unchanged + resource-efficient edge selection (sibling ratio threshold=0.4) + probabilistic byte selection (PBS 8 segments) + AFL_Havoc mutation),Discovery,Input generation / fuzzing,Edge-set / probabilistic byte mutations,edge coverage; number of unique crashes
P136,D19,USENIX Security,TRUE,AIFORE: Smart Fuzzing Based on Automatic Input Format Reverse Engineering,"Fetched instruction, Assembly, IR",Unknown vulnerability (bug) discovery/clustering,Dynamic Analysis > Dynamic taint analysis | Dynamic Analysis > Dynamic taint analysis; Static Analysis > IR lifting; Static Analysis > Call site analysis; Triage > Behavior monitoring; ,taint trace | taint trace; IR; CG; strings,"Text streams | Text streams, Code representation; Graph representation; String Literals","Text streams -> Sequence | Text streams, Code representation; Graph representation; String Literals -> Numeric descriptor",Sequence | Numeric descriptor,N/A | N/A,File-level (input file padded with null bytes to fixed max length; AFL afl-showmap-derived edge metric used) | Edge-set level (inherited from NEUZZ: merge always-co-occurring edges; drop never-activated edges; PreFuzz further sub-selects via Candidate Edge Set per Algorithm 1),Syntactic units | N/A,Trace-level | N/A,Byte-level,Sparse | Dense,Dense,N/A | count vectors,N/A | Context-dependent,N/A | CNN,Rule-based | Discriminative,Determinstic reasoning | Detection,No | Yes,N/A | CNN,Minimum Cluster field-boundary inference -> CNN field-type classifier -> format-aware power scheduling + type-specific mutators,AIFORE CNN (6 hidden layers; 6-class field type output) + Minimum Cluster algorithm + type-appropriate mutators,Discovery,Input generation / fuzzing,Inferred input field grammar + new test inputs,field boundary accuracy; field type Top-1 accuracy; field type Top-2 accuracy; basic block coverage; number of bugs found
P137,D20,Information,FALSE,CryptoKnight: Generating and Modelling Compiled Cryptographic Primitives,Fetched instruction,Known algorithm classification,Dynamic > Dynamic trace analysis,BBL-level dynamic execution trace feature matrix,Text streams; Code representations; Numerical statistics; Numerical statistics,String representation; Code representation; Statistical representation -> Sequence,Sequence,,Basic-block-level (BBL boundaries defined by Algorithm 2 head/tail markers: branch / call / return / re-iteration; per-BBL entropy collected on memory writes only),granularity-based,Instruction-level,Instruction-level,,Dense,Instruction-level,Context-independent,Manual opcode-entropy embedding (each BBL column w_i = normalized opcode frequency ratios x BBL entropy scores; not learned),Discriminative,Classification,Yes,,DCNN,CryptoKnight DCNN (20 conv layers; dynamic k-max pooling; 3 folding; FC(200) + softmax; dropout=0.5),Classification,Multi-class classification,Cryptographic algorithm label,Accuracy; F1
P138,D20,IEEE Access,FALSE,A Neural Network-Based Approach for Cryptographic Function Detection in Malware,Assembly,Known algorithm classification,Static > Disassembly,Assembly instruction sequences of binary functions,Code representations,Code representation -> Sequence,Sequence,Assembly instruction element replacement,Assembly instruction element replacement,granularity-based,Instruction-level,Instruction-level,,Dense,Instruction-level,Context-independent,Instruction-2-vec (Word2Vec Skip-gram; dim=100; window=5),Discriminative,Classification,Yes,,K-max CNN with attention,K-Max-CNN-Attention (4 parallel conv branches kernel=5/6/7/8 128 filters; k-max pooling k=3; attention; 15-class softmax),Classification,Multi-class classification,Cryptographic primitive label,Accuracy; Precision; Recall; F1-score
P139,D21,EMNLP,FALSE,CP-BCS: Binary Code Summarization Guided by Control Flow Graph and Pseudo Code,"Assembly, Decompiled code",Code summarization,Static > Disassembly | Static > Control flow analysis | Static > Decompilation,Assembly instruction token sequences | Bidirectional Instruction-level CFG (BI-CFG) | Pseudo code (decompiler output refined),Code representations | Graph representations | Code representations,Code representation -> Sequence | Graph representation -> Graph | Code representation -> Sequence,Sequence | Graph | Sequence,,Function-level (assembly tokens) | Function-level (BI-CFG; avg 45.79 nodes / 67.96 edges per Table 1 X64 O2) | Function-level (refined pseudo code; avg 243.32 tokens per Table 1 X64 O2),granularity-based,Instruction-field-level; Whitespace-based,Instruction-field-level; Whitespace-based,,Dense,Instruction-field-level; Whitespace-based,Context-dependent,Transformer encoder (AIEnc) with relative position encoding; GAT (GATEnc; neighbor aggregation with edge info); Transformer encoder (PSEnc identical to AIEnc),Generative,Generative,Yes,,GAT + Transformer decoder + CodeT5,CP-BCS (AIEnc + GATEnc + PSEnc + modified Transformer decoder with sequential multi-head cross-attention + CodeT5 for pseudo code refinement),Summarization,Function summarization,Natural-language summary,BLEU; ROUGE-L; METEOR
P140,D21,SANER,FALSE,Extending Source Code Pre-Trained Language Models to Summarise Decompiled Binaries,Decompiled code,Code summarization,Static > Decompilation,Decompiled C pseudo-code (Ghidra output),Code representations,Code representation -> Sequence,Sequence,Decompiled identifier replacement,Function-level (one decompiled function per training instance; cross-project 80/10/10 train/val/test split; demi-stripped synthesis removes identifiers from decompiled code post-decompilation),data-driven,Unigram language model,Unigram language model,,Dense,Unigram language model,Context-dependent,CodeT5 encoder-decoder Transformer (T5 relative position biases); fine-tuned end-to-end on CAPYBARA,Generative,Generative,Yes,,BinT5 / encoder-decoder Transformer,BinT5 (CodeT5-base 220M params fine-tuned on CAPYBARA),Summarization,Function summarization,Natural-language summary,Exact Match (EM); BLEU-4; ROUGE-L; METEOR
P141,D21,FSE,TRUE,Bin2Summary: Beyond Function Name Prediction in Stripped Binaries with Functionality-Specific Code Embeddings,Assembly,Code summarization,Static Analysis > Disassembly; Static Analysis > Call-site analysis; Static Analysis > Data-flow analysis,Assembly; ICFG; def-use chains,Code representations; Graph representations; Graph representations,Code representations; Graph representations; Graph representations-> Sequence,Sequence,Abstraction by replacement ,Function-level (FCFG = ICFG with selective callee expansion; functionality-relevant blocks identified per Algorithm 1 ?? block kept if (1) function has no arguments OR (2) contains operation directly/indirectly involving any function argument),Syntactic units,Element,Instruction-field-level,Sparse,N/A,N/A,Context-dependent,BERT-based (PalmTree)  | Word2Vec | Trasnformer-based(Asm2Vec) | GRU ,Generative,Generative,Yes,BERT-based or Word2Vec or Trasnformer-based,(Trasnformer-based (PalmTree) /Word2Vec/Trasnformer-based(Asm2Vec) -> GRU ) + GRU decoder,Bin2Summary (GRU encoder-decoder with Bahdanau attention; distance-based loss; optional transfer learning),Summarization,Function summarization,Natural-language summary,Precision; Recall; BLEU
